GEN_EPA_ID,NAICS_CODE,SIC_CODE,Comments
CA0000758789,54171,3728,
CA0000758789,54171,3769,
CA0000806844,22112,,
CA0000806844,221122,4939,
CA0000806844,221122,4911,
CA0000806844,221122,4931,
CA0000807610,44413,5251,
CA0000807610,44413,5072,
CA0000808303,44111,5511,
CA0000836205,23521,1721,
CA0000836205,23521,1799,
CA0000840124,811111,7538,
CA0000844589,,,
CA0000853176,22121,4923,
CA0000853176,22121,4924,
CA0000853176,22121,4925,
CA0000853176,22121,4931,
CA0000853176,22121,4932,
CA0000853176,22121,4939,
CA0000853333,22121,4923,
CA0000853333,22121,4924,
CA0000853333,22121,4925,
CA0000853333,22121,4931,
CA0000853333,22121,4932,
CA0000853333,22121,4939,
CA0000860775,54189,7319,
CA0000860775,54189,7389,
CA0000860775,54189,5199,
CA0000865527,44719,5541,
CA0000865527,447110,,
CA0000865733,488111,4581,
CA0000865733,488111,9621,
CA0000866590,32591,2893,
CA0000872705,811111,7538,
CA0000872747,44111,5511,
CA0000891804,32512,2813,
CA0000891804,32512,2869,
CA0000898775,561439,7334,
CA0000898775,561439,7389,
CA0000900654,48423,4213,
CA0000901827,811111,7538,
CA0000903799,811111,7538,
CA0000909523,334419,3679,
CA0000918607,48849,4231,
CA0000918607,48849,4785,
CA0000918607,48849,4173,
CA0000921510,44719,5541,
CA0000921510,447110,,
CA0000923359,332999,3599,
CA0000923359,332999,3999,
CA0000923359,332999,3291,
CA0000923359,332999,3429,
CA0000923359,332999,3432,
CA0000923359,332999,3494,
CA0000923359,332999,3497,
CA0000923359,332999,3499,
CA0000923359,332999,3914,
CA0000923359,336399,3599,
CA0000923359,336399,3429,
CA0000923359,336399,3519,
CA0000923359,336399,3799,
CA0000923359,336399,3714,
CA0000923359,332999,3537,
CA0000926043,,,
CA0000926972,44111,5511,
CA0000938860,323114,7334,
CA0000938860,323114,2759,
CA0000938860,323114,2752,
CA0000939454,44511,5411,
CA0000940312,339914,3479,
CA0000940312,339914,3961,
CA0000953166,92214,9223,
CA0000953299,335929,3357,
CA0000967497,44511,5411,
CA0000968784,811111,7538,
CA0000970392,488999,4729,
CA0000970392,488999,4789,
CA0000972059,44511,5411,
CA0000976043,44511,5411,
CA0000976084,54171,3728,
CA0000976084,335121,3999,
CA0000976084,54171,3764,
CA0000976084,54171,3724,
CA0000976084,54171,8733,
CA0000976084,54171,8731,
CA0000976084,54171,3721,
CA0000976084,54171,3769,
CA0000976084,335121,3645,
CA0000976084,54171,3761,
CA0000981969,44111,5511,
CA0000986141,44131,5531,
CA0000986141,44131,5015,
CA0000986141,44131,5731,
CA0000986141,44131,5013,
CA0000991265,322213,2652,
CA0000991398,811121,7532,
CA0000993022,92119,9199,
CA0001001759,92612,9621,
CA0001001767,92612,9621,
CA0001004837,211111,1311,
CA0001004845,332116,3469,
CA0001007046,44611,5912,
CA0001007046,812921,7384,
CA0001009448,333295,3559,
CA0001009448,3324,,
CA0001009448,333319,3999,
CA0001009448,333319,3599,
CA0001009448,333319,3589,
CA0001009448,333319,3559,
CA0001009448,333319,3699,
CA0001009885,44111,5511,
CA0001010693,44111,5511,
CA0001014075,562219,4953,
CA0001014075,48411,4212,
CA0001014075,48411,4214,
CA0001016773,23411,1611,
CA0001016773,23411,8741,
CA0001018142,336399,3714,
CA0001018142,336399,3799,
CA0001018142,336399,3519,
CA0001018142,336399,3429,
CA0001018142,336399,3599,
CA0001018159,54171,3761,
CA0001018159,54171,3764,
CA0001018159,54171,3728,
CA0001018159,54171,8733,
CA0001018159,54171,8731,
CA0001018159,54171,3721,
CA0001018159,54171,3769,
CA0001018159,54171,3724,
CA0001018266,51312,4833,
CA0001019660,44111,5511,
CA0001019694,92119,9199,
CA0001022417,23599,1799,
CA0001022417,332813,3399,
CA0001022417,332813,3471,
CA0001022466,32732,3273,
CA0001022607,485999,4111,
CA0001022607,485999,4119,
CA0001022607,4851,,
CA0001027150,485999,4111,
CA0001027150,485999,4119,
CA0001027580,49221,4215,
CA0001027580,49211,4513,
CA0001027580,49211,4215,
CA0001037498,23332,1522,
CA0001037498,23332,1542,
CA0001037498,23332,8741,
CA0001037498,23332,1531,
CA0001037498,23332,1541,
CA0001037902,331316,3354,
CA0001037928,48849,4785,
CA0001037928,48849,4173,
CA0001037928,48849,4231,
CA0001039494,325412,2834,
CA0001039494,325412,2835,
CA0002614485,,,
CA0002621404,,,
CA0028277036,,,
CA0057774358,,,
CA0170000023,,,
CA0170024281,,,
CA0170024481,,,
CA0170024491,92811,9711,
CA0170090013,92119,9199,
CA0170090021,92119,9199,
CA0170090211,92811,9711,
CA0180090250,49111,7389,
CA0180090250,49111,4311,
CA0180090466,811111,7538,
CA0210490413,92811,9711,
CA0570090555,92811,9711,
CA0572825909,92119,9199,
CA0592824909,,,
CA0690390448,92811,9711,
CA0690390554,92811,9711,
CA0890090004,22112,,
CA0890090004,221122,4931,
CA0890090004,221122,4911,
CA0890090004,221122,4939,
CA0971595236,454312,5171,
CA0971595236,454312,5984,
CA0981389968,,,
CA0981442858,,,
CA0982409336,,,
CA1000332735,,,
CA1000345348,,,
CA1002116328,,,
CA1141790195,611699,8299,
CA1141790195,611699,7999,
CA1170090020,92811,9711,
CA1170090194,92811,9711,
CA1170090210,92811,9711,
CA1170090558,92811,9711,
CA1170090616,92119,9199,
CA1180090150,811198,7534,
CA1180090150,811198,7549,
CA1180090184,49111,4311,
CA1180090184,49111,7389,
CA1180090424,49111,7389,
CA1180090424,49111,4311,
CA1360010317,62221,8063,
CA1360010317,62221,8069,
CA1360090244,62211,8062,
CA1360090244,62211,8069,
CA1570024504,92811,9711,
CA1570090075,336411,3721,
CA1570090075,336411,3728,
CA1570090075,3364,,
CA1572890522,92811,9711,
CA1590390454,,,
CA1690390439,92811,9711,
CA1690390454,92811,9711,
CA1800005034,92711,9661,
CA1800090010,54171,3761,
CA1800090010,54171,3724,
CA1800090010,54171,3728,
CA1800090010,54171,8731,
CA1800090010,54171,3764,
CA1800090010,54171,3721,
CA1800090010,54171,3769,
CA1800090010,54171,8733,
CA1890090003,221122,4939,
CA1890090003,221122,4911,
CA1890090003,221122,4931,
CA2000120725,,,
CA2141790426,92412,9512,
CA2170023152,92811,9711,
CA2170023152,3364,,
CA2170023202,92811,9711,
CA2170023236,92119,9199,
CA2170023533,92811,9711,
CA2170028533,,,
CA2180090225,49111,7389,
CA2180090225,49111,4311,
CA2180090431,49111,7389,
CA2180090431,49111,4311,
CA2180090472,811111,7538,
CA2210490379,92811,9711,
CA2210490411,92811,9711,
CA2211890429,92811,9711,
CA2360030033,62211,8062,
CA2360030033,62211,8069,
CA2360090060,6211,,
CA2360090060,62211,8062,
CA2360090060,62211,8069,
CA2570090157,92811,9711,
CA2570090199,336411,3728,
CA2570090199,3364,,
CA2570090199,336411,3721,
CA2690390453,92111,9111,
CA2690390529,,,
CA2890012584,511199,2741,
CA2890012923,92811,9711,
CA2890090002,54171,3769,
CA2890090002,54171,3764,
CA2890090002,54171,3728,
CA2890090002,54171,3724,
CA2890090002,54171,3761,
CA2890090002,54171,8733,
CA2890090002,54171,3721,
CA2890090002,54171,8731,
CA2942570846,,,
CA2982028169,,,
CA3170000614,,,
CA3170024381,92811,9711,
CA3170090564,92811,9711,
CA3170090614,92119,9199,
CA3180080455,,,
CA3180090166,49111,7389,
CA3180090166,49111,4311,
CA3180090455,49111,4311,
CA3180090455,49111,7389,
CA3180090604,49111,7389,
CA3180090604,49111,4311,
CA3210090491,92811,9711,
CA3210490378,92811,9711,
CA3360007295,62221,8063,
CA3360007295,62221,8069,
CA3360007295,62231,8069,
CA3572890520,92811,9711,
CA3690390213,611512,8299,
CA3690390213,611512,8249,
CA3690390387,,,
CA3890090001,23594,1795,
CA3971590028,454312,5171,
CA3971590028,454312,5984,
CA4000028922,,,
CA4007890151,,,
CA4170023788,92811,9711,
CA4170024414,211111,1311,
CA4170090209,928,,
CA4170090456,92811,9711,
CA4170090613,92119,9199,
CA4180080447,,,
CA4180090482,,,
CA4210090490,92811,9711,
CA4470000098,,,
CA4570024337,92811,9711,
CA4570024523,,,
CA4570024527,92811,9711,
CA4690390386,,,
CA4690390451,,,
CA4690390527,92119,9199,
CA4690590126,488111,4581,
CA4690590126,488111,9621,
CA4710023788,,,
CA4890008986,54172,8733,
CA4890008986,54172,8732,
CA4971520834,92119,9199,
CA5140090593,92412,9512,
CA5141790118,92119,9199,
CA5141790118,92412,9512,
CA5151590143,3339,,
CA5151590143,92811,9711,
CA5151990509,92214,9223,
CA5170022573,92811,9711,
CA5170023323,,,
CA5180090362,49111,4311,
CA5180090362,49111,7389,
CA5210020843,92811,9711,
CA5210490376,92811,9711,
CA5213790038,92811,9711,
CA5570024575,92811,9711,
CA5570024657,,,
CA5670024575,,,
CA5690090571,92811,9711,
CA5690390450,92811,9711,
CA6120507342,54172,8732,
CA6120507342,54172,8733,
CA6122390036,54172,8732,
CA6122390036,54172,8733,
CA6140090238,92119,9199,
CA6141790083,92412,9512,
CA6170023323,92119,9199,
CA6170024261,,,
CA6170024289,92811,9711,
CA6170090017,92811,9711,
CA6180090148,811198,7534,
CA6180090148,811198,7549,
CA6180090478,49111,7389,
CA6180090478,49111,4311,
CA6210490375,92811,9711,
CA6210490383,61131,8221,
CA6570025878,92811,9711,
CA6570090443,336414,3761,
CA6570090443,3364,,
CA6572026296,92811,9711,
CA6572026296,92411,9511,
CA6572890139,,,
CA6572890519,92811,9711,
CA6690390046,92811,9711,
CA6690390418,488119,4959,
CA6690390418,488119,4581,
CA6690390442,92612,9621,
CA6690390525,,,
CA7073960057,,,
CA7077476737,,,
CA7122390399,11531,0851,
CA7122390415,92412,9512,
CA7145571525,,,
CA7151415455,,,
CA7170000016,,,
CA7170024288,92811,9711,
CA7170024528,92811,9711,
CA7170024775,92119,9199,
CA7170030016,,,
CA7170090016,92811,9711,
CA7170090206,92811,9711,
CA7180090147,811198,7534,
CA7180090147,811198,7549,
CA7200090606,332116,3469,
CA7210020676,61131,8221,
CA7210020759,332993,3483,
CA7210090240,336992,3711,
CA7210090240,336992,3795,
CA7210490382,92811,9711,
