Score,X,Y,GEN_EPA_ID,ZIP5,POINT_X_12_13,POINT_Y_12_13,POINT_X,POINT_Y
100,-117.850615,34.106798,CAL000347183,91740,0,0,-117.850615,34.106798
97.17,-117.89169,34.072584,CAL000347202,91791,0,0,-117.89169,34.072584
100,-118.413252,33.9429,CAL000347207,90045,0,0,-118.413252,33.9429
100,-119.166728,34.144436,CAL000347221,93033,0,0,-119.166728,34.144436
100,-117.349795,33.88526,CAL000347241,92508,0,0,-117.349795,33.88526
100,-121.390346,38.406189,CAL000347249,95757,0,0,-121.390346,38.406189
87.35,-117.469236,34.099238,CAL000347251,92335,0,0,-117.469236,34.099238
100,-121.754522,36.940915,CAL000347257,95076,0,0,-121.754522,36.940915
78.32,-118.017531,34.631171,CAL000347262,93550,0,0,-118.017531,34.631171
100,-120.377484,36.179925,CAL000347267,93210,0,0,-120.377484,36.179925
96.14,-118.195774,33.782655,CAL000347271,90813,0,0,-118.195774,33.782655
100,-117.471111,34.099227,CAL000347278,92335,0,0,-117.471111,34.099227
0,0,0,CAL000347284,91354,-118.5740128,34.45961958,-118.5740128,34.45961958
79,-116.304644,33.758088,CAL000347289,92211,0,0,-116.304644,33.758088
100,-117.703849,33.657324,CAL000347290,92618,0,0,-117.703849,33.657324
100,-118.605158,34.235797,CAL000347299,91311,0,0,-118.605158,34.235797
0,0,0,CAL000347301,93551,-118.2491393,34.61129056,-118.2491393,34.61129056
100,-117.34441,33.997588,CAL000347307,92507,0,0,-117.34441,33.997588
87.35,-119.752727,36.691495,CAL000347313,93725,0,0,-119.752727,36.691495
100,-119.163326,35.180015,CAL000347319,93311,0,0,-119.163326,35.180015
100,-118.595364,34.439602,CAL000347326,91355,0,0,-118.595364,34.439602
100,-121.903443,37.324097,CAL000347327,95126,0,0,-121.903443,37.324097
100,-117.713337,33.642558,CAL000347336,92618,0,0,-117.713337,33.642558
100,-121.962889,37.366227,CAL000347359,95050,0,0,-121.962889,37.366227
100,-118.029267,34.572441,CAL000347369,93552,0,0,-118.029267,34.572441
100,-119.839107,34.437442,CAL000347372,93117,0,0,-119.839107,34.437442
100,-117.845905,33.719665,CAL000347374,92705,0,0,-117.845905,33.719665
100,-117.865785,33.852699,CAL000347406,92806,0,0,-117.865785,33.852699
100,-117.906962,33.919267,CAL000347411,92821,0,0,-117.906962,33.919267
96.93,-118.035853,33.897454,CAL000347430,90670,0,0,-118.035853,33.897454
100,-118.245327,34.050043,CAL000347438,90012,0,0,-118.245327,34.050043
100,-121.869687,38.01295,CAL000347444,94565,0,0,-121.869687,38.01295
100,-117.919532,33.686195,CAL000347472,92626,0,0,-117.919532,33.686195
100,-117.204342,32.773534,CAL000347473,92110,0,0,-117.204342,32.773534
100,-118.025849,33.809825,CAL000347478,90630,0,0,-118.025849,33.809825
100,-117.200066,33.578354,CAL000347480,92562,0,0,-117.200066,33.578354
100,-117.823263,33.745842,CAL000347482,92780,0,0,-117.823263,33.745842
100,-117.834235,33.809483,CAL000347484,92867,0,0,-117.834235,33.809483
100,-117.620736,33.430783,CAL000347485,92672,0,0,-117.620736,33.430783
97.5,-117.990943,33.730083,CAL000347486,92647,0,0,-117.990943,33.730083
100,-118.140269,33.874885,CAL000347487,90706,0,0,-118.140269,33.874885
100,-117.914628,33.632631,CAL000347488,92627,0,0,-117.914628,33.632631
100,-121.421592,38.61104,CAL000347497,95815,0,0,-121.421592,38.61104
100,-117.864275,33.856012,CAL000347498,92806,0,0,-117.864275,33.856012
0,0,0,CAL000347509,90501,-118.3143376,33.83345643,-118.3143376,33.83345643
100,-121.937494,37.376465,CAL000347512,95131,0,0,-121.937494,37.376465
100,-116.355049,33.744095,CAL000347546,92211,0,0,-116.355049,33.744095
100,-116.600243,33.076919,CAL000347549,92036,0,0,-116.600243,33.076919
83.47,-121.329536,37.986986,CAL000347550,95210,0,0,-121.329536,37.986986
100,-118.309206,33.904604,CAL000347570,90249,0,0,-118.309206,33.904604
