SourceName,RptSrc,SrcEPAID,DestinationName,DestType,DestEPAID,QuarterYear,LubeOil,IndOil,Total
Maximum Oil Service,Hauler,CAL000188867,Alviso Independent Oil_ Inc.,Transfer Station,CAL000161743,January - March 2004,8950,,8950
Maximum Oil Service,Hauler,CAL000188867,Bayside Oil II_ Inc.,Transfer Station,CAD088838222,January - March 2004,24115,,24115
Maximum Oil Service,Hauler,CAL000188867,Ramos Environmental Services,Transfer Station,CAD044003556,January - March 2004,70865,,70865
Millennium Waste Oil,Hauler,CAL000248373,Demenno/Kerdoon,Recycler,CAT080013352,January - March 2004,92717,,92717
Mosley Environmental Services,Hauler,CAL000259513,Ramos Environmental Services,Hauler,CAD044003556,January - March 2004,54042,,54042
Mosley Environmental Services,Hauler,CAL000259513,Ramos Environmental Services,Transfer Station,CAD044003556,January - March 2004,54042,,54042
North Valley Oil Company,Hauler,CAL000027759,Riverbank Oil Transfer,Recycler,CAL000190818,January - March 2004,6603,,6603
North Valley Oil Company,Hauler,CAL000027759,Alviso Independent Oil_ Inc.,Transfer Station,CAL000161743,January - March 2004,43163,,43163
Oasis Pumping,Hauler,CAD980694673,Industrial Service Oil Company_ Inc.,Recycler,CAD099452708,January - March 2004,21765,,21765
Odyssey Transportation_ Inc.,Hauler,CAD087210019,Demenno/Kerdoon,Recycler,CAT080013352,January - March 2004,131195,,131195
Pacific Oil Company,Hauler,CAD983615501,Demenno/Kerdoon,Recycler,CAT080013352,January - March 2004,49078,,49078
Pacific Oil Company,Hauler,CAD983615501,Industrial Service Oil Company_ Inc.,Recycler,CAD099452708,January - March 2004,254700,,254700
Patriot Environmental Services,Hauler,CAD053866794,Demenno/Kerdoon,Recycler,CAT080013352,January - March 2004,2440,,2440
Philip Services Corp.(Philip West Ind Svcs),Hauler,CAD980584510,Evergreen Environmental Services,Recycler,CAD982446858,January - March 2004,85900,,85900
Prime Environmental Services Company,Hauler,CAL931024039,Express Environmental Corp._dba Express Oil,Hauler,CAL000264806,January - March 2004,890,,890
Prime Environmental Services Company,Hauler,CAL931024039,Demenno/Kerdoon,Recycler,CAT080013352,January - March 2004,1450,,1450
