###,,,,,,,,,,,,
##,,,,,,,,,,,,
## Mass Balance by EPAID for 2010,,,,,,,,,,,,
## Inputs on left, outputs on right,,,,,,,,,,,
##,,,,,,,,,,,,
H_Total,Tx_In,P_Total,EPAID,P_RFO,P_Waste,P_TxOut,H_TxOut,Tx_Out,SelfTxfr,,=TxDiff,=In-Out
3487,0,0,CAR000053405,0,0,0,3487,3487,0,,0,
3418,0,0,CAD050513217,0,0,0,3418,3418,0,,0,
3187,0,0,CAD981377864,0,0,0,3187,3187,0,,0,
2915,0,0,CAL000293019,0,0,0,6090,6090,0,,0,
2875,0,0,CAL000328860,0,0,0,2875,2875,0,,0,
1670,0,0,CAD000626515,0,0,0,1670,1670,0,,0,
1635,0,0,CAL000274783,0,0,0,1635,1635,0,,0,
1625,0,0,CAD072953771,0,0,0,1225,1625,0,,400,
1556,0,0,CAD006910855,0,0,0,1556,1556,0,,0,
1259,0,0,CAD118803717,0,0,0,1259,1259,0,,0,
450,0,0,CAD981412356,0,0,0,450,450,0,,0,
442,0,0,CAD000626218,0,0,0,442,442,0,,0,
0,0,0,ARD981513385,0,0,0,0,0,0,,0,
0,0,0,AZR000501346,0,0,0,0,0,0,,0,
0,0,0,CAD059240713,0,0,0,0,0,0,,0,
0,0,0,CAD980893325,0,0,0,0,0,0,,0,
0,0,0,CAD981426539,0,0,0,0,0,0,,0,
0,0,0,CAD982513632,0,0,0,0,0,0,,0,
0,0,0,CAL000126290,0,0,0,0,0,0,,0,
0,0,0,CAL000277184,0,0,0,0,0,0,,0,
0,0,0,CAL000326492,0,0,0,0,0,0,,0,
0,0,0,CAL000337505,0,0,0,0,0,0,,0,
0,0,0,CAL921495383,0,0,0,0,0,0,,0,
0,0,0,CAR000168229,0,0,0,0,0,0,,0,
0,0,0,IDD984667071,0,0,0,0,0,0,,0,
0,0,0,IDO000084970,0,0,0,0,0,0,,0,
0,0,0,TXR000050930,0,0,0,0,0,0,,0,
TOTAL,,,,,,,,,,,,
83445990,85424873,116034312, ,81735469,30136386,1205714,51311570,85424873,3264493,,,
