WASTE_STATE_CODE,GenGAL,Import,DispGAL,TxIn,TxOut,TxLosses,TSDF_EPA_ID,Year,Class,H039,H061,H050,H020,H135,H040,H132,H129,H081,OtherUnknown,Others
221,0,0,63974,31353,0,0,CAR000157206,2009,P-CA,31353,0,0,0,0,0,0,0,27419,5202.000000,H122,
221,0,0,0,19666,16645,3021,CAT000625137,2009,Tx-CA,0,0,0,0,0,0,0,0,0,,
221,0,0,32477,2534,947,0,CAT000646117,2009,P-CA,1587,0,0,0,0,0,30890,0,0,,
221,0,0,915,915,0,0,CAT0800,2009,P-CA,915,0,0,0,0,0,0,0,0,,
221,0,0,286,286,0,0,CAT08001206,2009,P-CA,286,0,0,0,0,0,0,0,0,,
221,492658,0,0,7591135,8083793,0,CAT080012602,2009,C-CA,0,0,0,0,0,0,0,0,0,,
221,0,107755,56143194,56017114,72,0,CAT080013352,2009,P-CA,56017042,121491,0,0,1352,0,0,0,0,3309.000000,H037,H101,
221,0,0,41,41,0,0,CAT080013538,2009,P-CA,41,0,0,0,0,0,0,0,0,,
221,0,109,1379,2494,1115,0,CAT080014079,2009,P-CA,1379,0,0,0,0,0,0,0,0,,
221,0,0,176,176,0,0,CAT080014446,2009,P-CA,176,0,0,0,0,0,0,0,0,,
221,0,0,1925,11993492,11716306,277186,CAT080025711,2009,Tx-CA,0,1925,0,0,0,0,0,0,0,,
221,0,203224,53198,203224,150026,0,CAT080033681,2009,P-CA,53198,0,0,0,0,0,0,0,0,,
221,0,0,26,0,0,0,FLD980711071,2009,P-FL,0,0,26,0,0,0,0,0,0,,
221,0,0,8885,7389,0,0,IND000646943,2009,P-IN,7389,1496,0,0,0,0,0,0,0,,
221,0,0,71,57,0,0,IND093219012,2009,P-IN,57,14,0,0,0,0,0,0,0,,
221,0,0,3947,0,0,0,KSD980633259,2009,P-KS,0,3947,0,0,0,0,0,0,0,,
221,0,0,381080,375338,0,0,KSD981506025,2009,P-KS,375338,0,0,0,0,0,0,0,0,5742.000000,H010,
221,0,0,1026,1026,0,0,MOD981123391,2009,P-MO,1026,0,0,0,0,0,0,0,0,,
221,0,0,2211,260,0,0,MOD981127319,2009,P-MO,260,0,1951,0,0,0,0,0,0,,
221,0,0,4440,2344,0,0,MOD981505555,2009,P-MO,2344,1812,0,0,0,0,0,0,0,284.000000,H071,
