GEN_EPA_ID,TSDF_EPA_ID,CAT_CODE,METH_CODE,CONTAINER_TYPE,QUANTITY,UNITS
CAL000264990,CAD097030993,223,H141,DM,75,P
CA3210490378,CAD028409019,223,H141,DM,35,P
CA3210490378,CAD008364432,223,H061,DM,150,P
CA3210490378,CAD008364432,223,H141,DM,38,P
CAR000009159,CAD980887418,223,H141,CF,2000,P
CAR000009159,CAD980887418,223,H141,DM,200,P
CAL000135557,CAT080013352,223,H039,TT,5000,G
CAL000160658,CAT000646117,223,H132,DM,1480,P
CAD981388036,CAT000646117,223,H132,DM,400,P
CAD981388036,CAT000646117,223,H132,CF,1980,P
CAL000308211,CAD982444481,223,H141,DM,10,G
CAL000206300,CAD980887418,223,H141,DM,300,P
CAD097030993,CAT080013352,223,H039,TT,31780,P
CAD982343972,CAD980887418,223,H135,TT,650,G
CAL000083314,CAD980887418,223,H135,TT,850,G
CAD981696420,CAT080013352,223,,TT,4300,G
CAL000304349,WIR000029751,223,H039,DM,50,P
CAL000188511,WIR000029751,223,H039,DM,50,P
CAL000187047,WIR000029751,223,H039,DM,75,P
CAL000187028,WIR000029751,223,H039,DM,100,P
CAD009134438,CAD980887418,223,H141,CF,800,P
CAD009134438,CAD980887418,223,H141,DM,1000,P
CAL000012434,CAD980887418,223,H141,DM,320,P
CAD981170822,CAD980887418,223,H141,DM,400,P
CAL000289441,CAD980887418,223,H141,DM,200,P
CAL000278247,CAD980887418,223,H141,DM,300,P
CAL000186986,WIR000029751,223,H039,DM,125,P
CAL000187880,WIR000029751,223,H039,DM,50,P
CAL000108035,WIR000029751,223,H039,DM,50,P
CAL000167631,CAT080013352,223,H039,TT,4900,G
CAT000646158,CAT080013352,223,H039,TT,257,G
CAL000335160,CAD044003556,223,H141,TT,60,G
CAD982416026,CAT080013352,223,H039,TT,3500,G
CAL000335149,CAD044003556,223,H141,TT,35,G
CAL000009811,CAD028409019,223,H061,DM,18,G
CAL000009811,CAD028409019,223,H141,DM,75,P
CAL000009811,CAD028409019,223,H061,DM,20,G
CAL000005011,CAD028409019,223,H061,DM,40,G
CAL000005011,CAD028409019,223,H141,DM,100,P
